50.723	78.854	72.787
82.691	73.985	24.561
85.463	81.861	81.461
6.894	50.135	73.8
63.709	84.225	56.076
41.013	30.914	84.309
24.058	70.028	20.888
69.23	81.267	4.227
31.372	49.918	30.892
30.554	67.92	11.572
69.172	40.871	19.776
5.177	47.886	2.942
25.994	53.355	79.549
87.682	30.094	39.368
89.572	86.604	55.727
3.994	61.033	1.87
9.605	44.819	75.943
86.512	85.124	50.893
23.487	73.17	85.767
29.04	15.593	63.846
5.801	65.716	12.033
9.833	87.672	19.96
83.007	83.052	59.825
49.226	41.577	25.401
69.496	4.103	52.159
83.996	35.165	8.984
31.26	30.86	70.045
40.623	72.535	29.914
49.673	32.178	69.189
4.917	58.721	83.532
69.727	14.751	12.714
77.777	47.718	33.938
85.82	0.775	17.134
79.532	4.248	6.6
89.684	86.937	83.49
88.237	68.821	74.973
76.355	84.752	26.662
26.898	29.549	66.321
9.41	54.356	84.888
30.793	39.099	6.218
6.435	37.104	88.16
73.962	20.354	68.386
0.39	49.51	86.536
2.159	75.18	87.303
6.51	48.013	86.943
88.143	83.4	75.772
2.063	60.354	86.46
66.458	78.003	42.669
14.198	25.553	4.312
37.901	12.258	45.965
57.54	85.863	72.471
5.021	56.196	1.178
88.02	84.111	15.862
20.051	33.812	22.676
50.063	23.01	44.328
41.975	36.344	47.207
18.37	79.557	11.014
88.357	64.064	21.891
8.732	53.144	67.711
59.262	71.236	71.476
85.652	16.504	8.141
3.37	82.082	69.463
15.884	18.729	68.634
57.99	21.963	62.377
7.312	31.307	77.492
16.834	51.725	9.174
55.788	72.794	17.392
86.028	5.682	36.654
24.857	29.046	85.537
83.227	88.657	27.046
4.213	79.767	87.435
45.661	3.877	32.735
16.867	60.573	17.403
18.768	27.635	79.178
21.693	52.443	62.179
58.111	80.039	10.591
71.74	27.244	64.107
7.281	82.265	89.753
10.899	60.918	5.752
17.04	13.632	84.93
24.528	59.304	75.943
16.054	66.06	28.021
85.737	89.899	33.715
4.128	18.679	1.664
13.569	84.766	7.21
68.952	88.858	64.217
84.952	88.788	0.964
